keys,ru,ky,en,tr
creature.umai_ene.name,Умай-Эне,Умай-Эне,Umai Ene,Umay Ana
creature.alpakarakush.name,Алпкаракуш,Алпкаракуш,Alpakarakush,Alpakarakush
creature.ak_ilbirs.name,Ак Илбирс,Ак Илбирс,Ak Ilbirs,Ak Ilbirs
creature.suu_eesi.name,Суу ээси,Суу ээси,Suu Eesi,Suu Eesi
creature.too_eesi.name,Тоо ээси,Тоо ээси,Too Eesi,Too Eesi
creature.zheztyrnak.name,Жезтырнак,Жезтырнак,Zheztyrnak,Zheztyrnak
creature.albarsty.name,Албарсты,Албарсты,Albarsty,Albarsty
creature.zhelmoguz_kempir.name,Желмогуз-кемпир,Желмогуз-кемпир,Zhelmoguz Kempir,Zhelmoguz Kempir
creature.azhydaar.name,Ажыдаар,Ажыдаар,Azhydaar,Azhydaar
category.good,Доброе,Жакшы,Good,İyi
category.neutral,Нейтральное,Бейтарап,Neutral,Tarafsız
category.evil,Злое,Жаман,Evil,Kötü
host.harmony_spirit.name,Дух гармонии,Гармония руху,Harmony Spirit,Uyum Ruhu
host.discord_spirit.name,Дух раздора,Чыр руху,Discord Spirit,Anlaşmazlık Ruhu
location.spirit_yurt.name,Юрта духов,Рухтар боз үйү,Spirit Yurt,Ruhlar Yurdu
location.mountain_lake.name,Горное озеро,Тоо көлү,Mountain Lake,Dağ Gölü
